age,attrition,dept,education,gender,job_role,isMarried,monthly_income,companies_worked,OverTime,working_years,year_at_company,years_in_current_pos,last_year_promoted,years_with_current_manager
26,No,Sales,3,Female,Sales Executive,Married,4157,7,Yes,5,2,2,0,0
33,No,Research & Development,2,Female,Research Director,Single,13458,1,Yes,15,15,14,8,12
35,No,Sales,5,Male,Sales Executive,Married,9069,1,No,9,9,8,1,8
35,No,Research & Development,4,Female,Laboratory Technician,Married,4014,3,Yes,4,2,2,2,2
31,No,Research & Development,4,Male,Laboratory Technician,Divorced,5915,3,No,10,7,7,1,7
37,No,Research & Development,4,Male,Manufacturing Director,Divorced,5993,1,No,7,7,5,0,7
32,No,Research & Development,3,Male,Manufacturing Director,Married,6162,1,Yes,9,9,8,7,8
38,No,Research & Development,5,Female,Laboratory Technician,Single,2406,1,No,10,10,3,9,9
50,No,Research & Development,2,Female,Research Director,Divorced,18740,5,Yes,29,27,3,13,8
59,No,Sales,3,Female,Sales Executive,Single,7637,7,No,28,21,16,7,9
36,No,Research & Development,3,Female,Healthcare Representative,Divorced,10096,1,No,17,17,14,12,8
55,No,Research & Development,3,Female,Manager,Divorced,14756,2,Yes,21,5,0,0,2
36,No,Research & Development,3,Male,Manufacturing Director,Single,6499,1,No,6,6,5,0,3
45,No,Research & Development,3,Male,Research Scientist,Divorced,9724,2,No,25,1,0,0,0
35,No,Research & Development,3,Male,Research Scientist,Married,2194,4,No,5,3,2,1,2
36,Yes,Research & Development,3,Male,Research Scientist,Married,3388,0,Yes,2,1,0,0,0
59,No,Sales,1,Female,Sales Executive,Single,5473,7,No,20,4,3,1,3
29,No,Research & Development,3,Male,Research Scientist,Married,2703,0,No,6,5,4,0,4
31,No,Research & Development,4,Male,Research Scientist,Single,2501,1,No,1,1,1,1,0
32,No,Research & Development,3,Male,Research Scientist,Married,6220,1,No,10,10,4,0,9
36,No,Research & Development,3,Female,Laboratory Technician,Married,3038,3,No,5,1,0,0,0
31,No,Research & Development,4,Female,Manufacturing Director,Single,4424,1,No,11,11,7,1,8
35,No,Sales,4,Male,Sales Executive,Single,4312,0,No,16,15,13,2,8
45,No,Research & Development,4,Male,Research Director,Married,13245,4,Yes,17,0,0,0,0
37,No,Research & Development,4,Male,Research Director,Single,13664,4,No,16,5,2,0,2
46,No,Human Resources,2,Male,Human Resources,Divorced,5021,8,Yes,16,4,2,0,2
30,No,Research & Development,1,Male,Laboratory Technician,Married,5126,1,Yes,10,10,8,3,0
35,No,Research & Development,3,Male,Research Scientist,Single,2859,1,No,6,6,4,0,4
55,No,Sales,2,Male,Sales Executive,Married,10239,3,No,24,1,0,1,0
38,No,Research & Development,3,Female,Research Scientist,Divorced,5329,7,Yes,17,13,11,1,9
34,No,Research & Development,2,Male,Manufacturing Director,Married,4325,1,No,5,5,2,1,3
56,No,Research & Development,3,Male,Manufacturing Director,Single,7260,4,No,37,6,4,0,2
23,No,Sales,1,Male,Sales Representative,Divorced,2322,3,No,3,0,0,0,0
51,No,Research & Development,4,Male,Laboratory Technician,Married,2075,3,No,10,4,2,0,3
30,No,Research & Development,3,Male,Healthcare Representative,Married,4152,1,No,11,11,10,10,8
46,Yes,Sales,2,Male,Sales Executive,Single,9619,1,No,9,9,8,4,7
40,No,Research & Development,4,Male,Healthcare Representative,Married,13503,1,No,22,22,3,11,11
51,No,Sales,4,Male,Sales Executive,Single,5441,0,Yes,11,10,7,1,0
30,No,Sales,2,Female,Sales Executive,Divorced,5209,1,Yes,11,11,8,2,7
46,No,Research & Development,3,Male,Healthcare Representative,Married,10673,2,Yes,21,10,9,9,5
32,No,Sales,4,Male,Sales Executive,Single,5010,1,No,12,11,8,5,7
54,No,Research & Development,4,Female,Research Director,Married,13549,9,No,16,4,3,0,3
24,No,Sales,2,Female,Sales Executive,Married,4999,0,No,4,3,2,0,2
28,No,Sales,3,Male,Sales Executive,Married,4221,1,No,5,5,4,0,4
58,No,Sales,4,Male,Sales Executive,Single,13872,0,No,38,37,10,1,8
44,No,Research & Development,3,Male,Laboratory Technician,Married,2042,4,No,17,3,2,1,2
37,Yes,Human Resources,4,Male,Human Resources,Divorced,2073,4,Yes,7,3,2,0,2
32,No,Research & Development,1,Male,Research Scientist,Single,2956,1,No,1,1,0,0,0
20,Yes,Research & Development,3,Female,Laboratory Technician,Single,2926,1,Yes,1,1,0,1,0
34,No,Research & Development,4,Female,Research Scientist,Single,4809,1,No,16,16,13,2,10
37,No,Research & Development,2,Male,Healthcare Representative,Divorced,5163,5,No,17,1,0,0,0
59,No,Human Resources,4,Female,Manager,Married,18844,9,No,30,3,2,2,2
50,No,Research & Development,3,Female,Research Director,Married,18172,3,Yes,28,8,3,0,7
25,Yes,Sales,3,Male,Sales Executive,Single,5744,1,Yes,6,6,4,0,3
25,No,Research & Development,1,Male,Research Scientist,Married,2889,1,No,2,2,2,2,1
22,No,Research & Development,3,Female,Laboratory Technician,Single,2871,1,No,1,0,0,0,0
51,No,Research & Development,4,Female,Healthcare Representative,Single,7484,3,No,23,13,12,12,8
34,Yes,Research & Development,3,Male,Laboratory Technician,Single,6074,1,Yes,9,9,7,0,6
54,No,Human Resources,3,Female,Manager,Single,17328,2,Yes,23,5,3,4,4
24,No,Research & Development,1,Male,Laboratory Technician,Married,2774,0,No,6,5,3,1,2
34,No,Research & Development,4,Female,Research Scientist,Divorced,4505,6,No,12,1,0,0,0
37,No,Sales,3,Male,Sales Executive,Single,7428,2,No,12,5,3,1,3
34,No,Research & Development,3,Female,Manager,Single,11631,2,No,14,11,10,5,8
36,No,Sales,2,Female,Sales Executive,Married,9738,0,No,10,9,7,2,8
36,No,Research & Development,2,Female,Laboratory Technician,Divorced,2835,5,No,7,1,0,0,0
43,No,Sales,2,Male,Manager,Married,16959,1,Yes,25,25,12,4,12
30,No,Research & Development,3,Male,Research Scientist,Divorced,2613,1,No,10,10,7,0,9
33,No,Sales,2,Male,Sales Executive,Married,6146,0,No,8,7,7,0,7
56,Yes,Research & Development,4,Female,Research Scientist,Married,4963,9,Yes,7,5,4,4,3
51,No,Research & Development,3,Male,Research Director,Single,19537,7,No,23,20,18,15,15
31,Yes,Sales,4,Male,Sales Executive,Married,6172,4,Yes,12,7,7,7,7
26,No,Research & Development,3,Female,Research Scientist,Married,2368,1,No,5,5,4,4,3
58,Yes,Research & Development,4,Female,Healthcare Representative,Married,10312,1,No,40,40,10,15,6
19,Yes,Sales,1,Male,Sales Representative,Single,1675,1,Yes,0,0,0,0,0
22,No,Research & Development,1,Male,Laboratory Technician,Married,2523,0,No,3,2,1,2,1
49,No,Research & Development,4,Female,Manufacturing Director,Married,6567,1,No,16,15,11,5,11
43,No,Research & Development,3,Female,Research Scientist,Single,4739,4,No,18,3,2,1,2
50,No,Sales,3,Female,Sales Executive,Single,9208,4,No,16,2,2,2,1
31,Yes,Sales,3,Female,Sales Executive,Married,4559,3,Yes,4,2,2,2,2
41,No,Sales,1,Male,Sales Executive,Divorced,8189,3,Yes,12,9,7,0,7
26,No,Human Resources,1,Female,Human Resources,Married,2942,1,No,8,8,7,5,7
36,No,Research & Development,2,Male,Manufacturing Director,Divorced,4941,6,No,7,3,2,0,1
51,Yes,Research & Development,4,Male,Manufacturing Director,Single,10650,2,No,18,4,2,0,3
39,No,Sales,4,Female,Sales Executive,Married,5902,4,No,17,15,11,5,9
25,No,Sales,3,Male,Sales Executive,Married,8639,2,No,6,2,2,2,2
30,No,Human Resources,3,Male,Human Resources,Married,6347,0,Yes,12,11,9,4,7
32,Yes,Research & Development,3,Female,Laboratory Technician,Single,4200,7,No,10,5,4,0,4
45,No,Research & Development,3,Male,Research Scientist,Single,3452,5,No,9,6,5,0,3
38,No,Research & Development,5,Female,Research Scientist,Single,4317,3,Yes,19,3,2,2,2
30,No,Research & Development,3,Female,Research Scientist,Single,2632,1,No,5,5,4,0,4
32,No,Sales,2,Male,Sales Executive,Divorced,4668,0,No,9,8,7,0,7
30,No,Research & Development,3,Female,Research Scientist,Divorced,3204,5,No,8,3,2,2,2
30,No,Research & Development,1,Male,Laboratory Technician,Single,2720,0,No,6,5,3,1,2
41,No,Research & Development,3,Male,Manager,Divorced,17181,4,No,21,7,6,7,7
41,No,Research & Development,4,Male,Laboratory Technician,Married,2238,2,No,7,5,0,1,4
19,No,Research & Development,1,Female,Laboratory Technician,Single,1483,1,No,1,1,0,0,0
40,No,Research & Development,3,Female,Research Scientist,Divorced,5605,1,No,20,20,7,2,13
35,No,Sales,5,Male,Sales Executive,Married,7295,1,No,10,10,8,0,6
53,No,Sales,2,Male,Sales Representative,Married,2306,2,Yes,13,7,7,4,5
45,No,Research & Development,3,Male,Laboratory Technician,Divorced,2348,8,No,20,17,9,0,15
32,No,Sales,3,Female,Sales Executive,Single,8998,1,No,9,9,8,3,7
29,No,Research & Development,1,Male,Manufacturing Director,Married,4319,1,No,10,10,7,0,9
51,No,Research & Development,4,Male,Manufacturing Director,Married,6132,2,No,10,1,0,0,0
58,No,Research & Development,3,Female,Research Scientist,Married,3346,4,Yes,9,1,0,0,0
40,No,Sales,4,Male,Sales Executive,Married,10855,7,No,15,12,11,2,11
34,No,Sales,4,Female,Sales Representative,Married,2231,6,No,6,4,3,1,2
22,No,Research & Development,1,Male,Research Scientist,Married,2323,1,No,2,2,2,2,2
27,No,Research & Development,3,Male,Research Scientist,Divorced,2024,6,No,6,2,2,2,2
28,No,Research & Development,3,Male,Research Scientist,Married,2713,1,No,5,5,2,0,2
57,No,Research & Development,2,Male,Healthcare Representative,Divorced,9439,3,Yes,12,5,3,1,4
27,No,Research & Development,3,Male,Research Scientist,Divorced,2566,1,Yes,1,1,1,0,1
50,No,Research & Development,3,Female,Manager,Single,19926,3,No,21,5,4,4,4
41,No,Research & Development,3,Male,Research Scientist,Divorced,2451,4,No,13,9,8,1,8
30,No,Sales,3,Female,Sales Executive,Married,9419,2,No,12,10,9,7,4
38,No,Sales,4,Female,Sales Executive,Single,8686,4,No,12,8,3,0,7
32,No,Research & Development,5,Male,Research Scientist,Single,3038,3,No,8,5,4,1,4
27,No,Research & Development,3,Male,Research Scientist,Married,3058,0,Yes,6,5,2,1,1
19,Yes,Sales,1,Female,Sales Representative,Single,2325,0,No,1,0,0,0,0
36,No,Research & Development,2,Male,Laboratory Technician,Single,2088,4,No,13,8,7,7,2
30,No,Research & Development,3,Male,Laboratory Technician,Divorced,3072,1,No,12,12,9,6,10
45,No,Sales,2,Female,Sales Executive,Divorced,5006,4,Yes,9,5,4,0,3
56,No,Research & Development,3,Female,Research Scientist,Divorced,4257,4,Yes,19,2,2,2,2
33,No,Research & Development,3,Male,Research Scientist,Single,2500,0,No,4,3,1,0,2
19,Yes,Research & Development,3,Male,Laboratory Technician,Single,1102,1,No,1,1,0,1,0
46,No,Sales,2,Female,Sales Executive,Divorced,10453,1,No,24,24,13,15,7
38,No,Research & Development,2,Female,Laboratory Technician,Single,2288,1,No,2,2,2,2,1
31,No,Research & Development,1,Female,Research Scientist,Married,3929,8,Yes,7,4,2,0,2
34,No,Research & Development,2,Female,Research Scientist,Single,2311,2,No,9,3,2,1,2
41,Yes,Sales,2,Female,Sales Representative,Single,3140,1,Yes,4,4,3,0,2
50,No,Research & Development,3,Male,Laboratory Technician,Married,3690,2,No,5,3,2,0,2
53,No,Research & Development,2,Female,Manufacturing Director,Divorced,4450,1,No,5,4,2,1,3
33,No,Research & Development,3,Female,Research Scientist,Married,2756,1,No,8,8,7,1,6
40,No,Research & Development,1,Female,Manager,Married,19033,1,No,21,20,8,9,9
55,No,Research & Development,4,Male,Research Director,Single,18722,8,No,36,24,15,2,15
34,No,Research & Development,1,Male,Manufacturing Director,Married,9547,1,No,10,10,9,1,9
51,No,Research & Development,3,Female,Healthcare Representative,Single,13734,3,No,21,7,7,1,0
52,No,Research & Development,4,Male,Manager,Married,19999,0,No,34,33,18,11,9
27,No,Research & Development,3,Female,Research Scientist,Single,2279,1,No,7,7,7,0,3
35,Yes,Research & Development,2,Male,Manufacturing Director,Married,5916,3,Yes,8,1,0,0,1
43,No,Research & Development,3,Male,Research Scientist,Divorced,2089,4,No,7,5,4,2,2
45,No,Research & Development,2,Male,Manager,Married,16792,9,No,22,20,8,11,8
37,No,Research & Development,3,Male,Research Scientist,Married,3564,1,Yes,8,8,7,1,7
35,No,Research & Development,3,Female,Laboratory Technician,Single,4425,5,No,10,6,2,1,2
42,No,Research & Development,2,Female,Manufacturing Director,Divorced,5265,2,No,11,5,3,0,2
38,No,Research & Development,4,Male,Manufacturing Director,Married,6553,9,No,14,1,0,0,0
38,No,Research & Development,3,Male,Manufacturing Director,Married,6261,3,No,9,7,7,1,7
27,No,Research & Development,1,Male,Manufacturing Director,Married,4298,5,No,6,2,2,2,0
49,No,Research & Development,4,Male,Manufacturing Director,Divorced,6804,1,Yes,7,7,7,1,7
34,No,Research & Development,4,Male,Research Scientist,Divorced,3815,1,Yes,5,5,3,2,0
40,No,Research & Development,2,Male,Laboratory Technician,Married,2741,8,Yes,15,7,2,3,7
38,Yes,Research & Development,1,Male,Healthcare Representative,Married,6673,7,Yes,17,1,0,0,0
29,Yes,Sales,3,Female,Sales Executive,Married,7639,1,No,10,10,4,1,9
22,No,Research & Development,3,Male,Research Scientist,Divorced,2328,1,Yes,4,4,2,2,2
36,No,Research & Development,1,Female,Laboratory Technician,Single,2153,1,No,8,8,1,1,7
40,No,Research & Development,5,Male,Healthcare Representative,Married,4876,9,No,5,3,2,0,2
46,No,Research & Development,4,Male,Healthcare Representative,Divorced,9396,7,No,17,4,2,0,3
32,Yes,Sales,4,Male,Sales Executive,Married,10400,1,No,14,14,8,9,8
30,No,Research & Development,1,Male,Manufacturing Director,Single,8474,1,No,12,11,8,5,8
27,No,Sales,3,Female,Sales Executive,Single,9981,1,No,7,7,7,0,7
51,No,Research & Development,4,Male,Research Director,Married,12490,5,No,16,10,9,4,7
30,Yes,Research & Development,3,Female,Research Scientist,Single,2657,5,Yes,8,5,2,0,4
41,No,Sales,3,Female,Manager,Single,13591,3,Yes,16,1,0,0,0
30,Yes,Sales,4,Female,Sales Executive,Single,6696,5,No,9,6,3,0,1
29,Yes,Research & Development,3,Male,Research Scientist,Single,2058,0,No,7,6,2,1,5
45,No,Sales,3,Female,Sales Executive,Single,8865,6,No,23,19,7,12,8
54,No,Sales,3,Female,Sales Executive,Married,5940,2,No,16,6,2,0,5
36,No,Research & Development,2,Male,Laboratory Technician,Single,5914,8,No,16,13,11,3,7
33,No,Research & Development,4,Female,Research Scientist,Married,2622,6,No,7,3,2,1,1
37,No,Research & Development,3,Male,Research Director,Divorced,12185,1,Yes,10,10,8,0,7
38,No,Sales,3,Male,Sales Executive,Divorced,10609,0,No,17,16,10,5,13
31,No,Research & Development,4,Male,Manufacturing Director,Married,4345,0,No,6,5,4,1,4
59,No,Research & Development,3,Male,Research Scientist,Married,2177,3,No,7,1,0,0,0
37,No,Sales,4,Male,Sales Representative,Divorced,2793,4,No,13,9,8,5,8
29,No,Sales,1,Female,Sales Executive,Married,7918,1,No,11,11,10,4,1
35,No,Sales,3,Female,Sales Executive,Single,8789,1,No,10,10,7,0,8
29,Yes,Research & Development,1,Male,Research Scientist,Single,2389,1,Yes,4,4,3,0,1
52,No,Research & Development,3,Female,Laboratory Technician,Single,3212,7,No,6,2,2,2,2
42,No,Research & Development,2,Male,Manager,Married,19232,1,No,22,22,17,11,15
59,No,Human Resources,2,Male,Human Resources,Married,2267,8,No,7,2,2,2,2
50,No,Sales,4,Female,Manager,Divorced,19517,3,No,32,7,0,0,6
33,Yes,Research & Development,3,Male,Laboratory Technician,Married,2436,5,Yes,8,5,4,0,4
43,No,Sales,3,Female,Manager,Married,16064,5,Yes,22,17,13,1,9
33,Yes,Research & Development,2,Female,Laboratory Technician,Married,2707,7,No,13,9,7,1,7
52,No,Sales,4,Male,Manager,Single,19068,1,Yes,33,33,7,15,12
32,No,Sales,2,Female,Sales Representative,Married,3931,2,No,6,4,3,1,2
32,Yes,Research & Development,3,Male,Laboratory Technician,Single,3730,0,Yes,4,3,2,1,2
39,No,Research & Development,4,Female,Laboratory Technician,Divorced,2232,7,No,7,3,2,1,2
32,No,Sales,4,Male,Sales Executive,Married,4465,0,No,4,3,2,2,2
41,No,Research & Development,2,Male,Research Scientist,Divorced,3072,2,No,17,1,0,0,0
40,No,Research & Development,2,Male,Research Scientist,Divorced,3319,1,No,9,9,8,4,7
45,No,Research & Development,3,Male,Manager,Married,19202,0,No,25,24,0,1,7
31,No,Research & Development,4,Male,Research Director,Divorced,13675,9,No,9,2,2,2,2
33,No,Research & Development,4,Female,Research Scientist,Married,2911,1,No,2,2,2,0,2
34,No,Research & Development,4,Male,Manufacturing Director,Married,5957,6,No,13,11,9,5,9
37,No,Research & Development,2,Female,Research Scientist,Married,3920,2,No,17,3,1,0,2
45,No,Research & Development,4,Male,Manufacturing Director,Married,6434,4,No,9,3,2,0,2
37,Yes,Research & Development,3,Male,Manufacturing Director,Divorced,10048,6,No,17,1,0,0,0
39,No,Research & Development,4,Female,Healthcare Representative,Single,10938,0,No,20,19,6,11,8
29,No,Research & Development,3,Male,Research Scientist,Single,2340,1,No,6,6,5,1,5
42,No,Research & Development,2,Female,Research Scientist,Single,6545,3,Yes,10,3,2,0,2
29,No,Sales,2,Male,Sales Executive,Divorced,6931,2,No,10,3,2,0,2
25,No,Research & Development,3,Female,Manufacturing Director,Married,4898,0,No,5,4,2,1,2
42,No,Research & Development,3,Female,Laboratory Technician,Divorced,2593,0,Yes,10,9,6,7,8
40,No,Research & Development,2,Male,Research Director,Divorced,19436,0,No,22,21,7,3,9
51,No,Research & Development,3,Male,Research Scientist,Married,2723,1,No,1,1,0,0,0
31,Yes,Research & Development,2,Male,Laboratory Technician,Single,3479,0,No,6,5,4,1,4
32,No,Research & Development,3,Male,Laboratory Technician,Married,2794,1,No,5,5,1,0,3
38,No,Sales,2,Male,Sales Executive,Married,5249,3,No,13,8,7,7,5
32,No,Research & Development,1,Male,Laboratory Technician,Single,2176,4,No,9,6,2,0,4
46,No,Sales,3,Female,Manager,Married,16872,3,Yes,28,7,7,7,7
28,Yes,Research & Development,4,Male,Laboratory Technician,Single,3485,2,No,5,0,0,0,0
29,No,Sales,3,Male,Sales Executive,Married,6644,2,No,10,0,0,0,0
31,No,Research & Development,3,Male,Healthcare Representative,Married,5582,0,No,10,9,0,7,8
25,No,Research & Development,2,Male,Healthcare Representative,Divorced,4000,1,No,6,6,3,1,5
45,No,Research & Development,2,Male,Healthcare Representative,Married,13496,0,Yes,21,20,7,4,10
36,No,Research & Development,3,Male,Laboratory Technician,Married,3210,0,No,16,15,13,10,11
55,No,Research & Development,3,Male,Manager,Single,19045,0,Yes,37,36,10,4,13
47,Yes,Research & Development,4,Male,Manager,Married,11849,1,Yes,10,10,7,9,9
28,No,Research & Development,3,Male,Research Scientist,Married,2070,1,No,5,5,2,0,4
37,No,Sales,4,Male,Sales Executive,Married,6502,4,No,7,5,4,0,1
21,No,Research & Development,2,Male,Research Scientist,Single,3230,1,No,3,3,2,1,0
37,No,Research & Development,4,Female,Research Director,Divorced,13603,2,Yes,15,5,2,0,2
35,No,Research & Development,3,Female,Manager,Divorced,11996,7,No,10,7,7,6,2
38,No,Sales,2,Female,Sales Executive,Divorced,5605,1,Yes,8,8,0,7,7
26,No,Research & Development,3,Female,Manufacturing Director,Divorced,6397,1,No,6,6,5,1,4
50,No,Research & Development,1,Male,Research Director,Divorced,19144,3,No,28,10,4,1,6
53,No,Research & Development,4,Male,Research Director,Married,17584,3,Yes,21,5,3,1,3
42,No,Sales,1,Male,Sales Executive,Married,4907,1,No,20,20,16,11,6
29,No,Sales,2,Male,Sales Executive,Single,4554,1,No,10,10,7,0,9
55,No,Research & Development,2,Male,Laboratory Technician,Married,5415,3,Yes,12,10,7,0,8
26,No,Research & Development,2,Male,Healthcare Representative,Married,4741,1,Yes,5,5,3,3,3
37,No,Research & Development,3,Female,Research Scientist,Single,2115,1,No,17,17,12,5,7
44,Yes,Research & Development,3,Male,Laboratory Technician,Divorced,3161,3,Yes,19,1,0,0,0
38,No,Research & Development,4,Male,Healthcare Representative,Divorced,5745,9,No,10,2,2,1,2
26,Yes,Research & Development,4,Male,Laboratory Technician,Divorced,2373,2,Yes,5,3,2,0,2
28,No,Research & Development,2,Female,Research Scientist,Single,3310,1,No,5,5,3,0,2
49,No,Research & Development,4,Female,Research Director,Single,18665,9,Yes,22,3,2,1,2
36,No,Research & Development,3,Male,Research Scientist,Single,4485,4,No,10,8,0,7,7
31,No,Sales,3,Female,Sales Representative,Divorced,2789,1,No,2,2,2,2,2
26,Yes,Sales,4,Male,Sales Executive,Single,5828,1,Yes,8,8,7,7,4
37,No,Research & Development,3,Male,Research Scientist,Married,2326,1,Yes,4,4,2,1,2
42,No,Sales,3,Female,Sales Executive,Married,13525,5,No,23,20,4,4,8
18,Yes,Research & Development,3,Male,Laboratory Technician,Single,1420,1,No,0,0,0,0,0
35,No,Sales,3,Male,Sales Executive,Married,8020,0,No,12,11,9,6,9
36,No,Research & Development,4,Male,Laboratory Technician,Married,3688,4,No,4,1,0,0,0
51,No,Research & Development,3,Male,Manufacturing Director,Divorced,5482,5,No,13,4,1,1,2
41,No,Sales,4,Male,Manager,Single,16015,1,No,22,22,10,0,4
18,No,Sales,3,Female,Sales Representative,Single,1200,1,No,0,0,0,0,0
28,No,Research & Development,2,Male,Healthcare Representative,Single,5661,0,No,9,8,3,0,7
31,No,Sales,3,Male,Sales Executive,Married,6929,4,No,10,8,7,7,7
39,No,Research & Development,3,Male,Healthcare Representative,Divorced,9613,0,No,19,18,10,3,7
36,No,Research & Development,4,Female,Laboratory Technician,Married,5674,7,No,11,9,8,0,8
32,No,Sales,3,Male,Sales Executive,Married,5484,1,No,13,13,8,4,8
38,No,Research & Development,2,Female,Research Director,Married,12061,3,No,19,10,8,0,1
58,No,Research & Development,4,Male,Healthcare Representative,Divorced,5660,2,Yes,12,5,3,1,2
31,No,Research & Development,4,Male,Research Scientist,Married,4821,0,Yes,6,5,2,0,3
31,No,Human Resources,3,Male,Human Resources,Married,6410,3,No,9,2,2,1,0
45,No,Research & Development,3,Male,Laboratory Technician,Divorced,5210,1,No,24,24,9,9,11
31,No,Research & Development,4,Male,Research Scientist,Divorced,2695,0,Yes,3,2,2,2,2
33,No,Research & Development,4,Female,Manager,Married,11878,6,No,12,10,6,8,8
39,No,Research & Development,1,Male,Manager,Married,17068,1,Yes,21,21,9,11,10
43,No,Research & Development,4,Female,Laboratory Technician,Single,2455,0,No,9,8,7,1,7
49,No,Research & Development,2,Female,Healthcare Representative,Single,13964,7,Yes,25,7,1,0,7
52,Yes,Research & Development,4,Male,Research Scientist,Married,4941,2,No,11,8,2,7,7
27,No,Research & Development,3,Female,Research Scientist,Single,2478,1,Yes,4,4,3,1,2
32,No,Sales,2,Female,Sales Executive,Married,5228,1,Yes,13,13,12,11,9
